;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
1278;CHEMBL311459;nM;20000.0;CC1=C(C(=O)OCc2ccccc2)N2C(=O)C(C(C)C)[C@H]2S1;4.698970004336019;317.108564468;4;0;3.148600000000002;yes
1279;CHEMBL85275;nM;20000.0;CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](F)[C@H]2SC1;4.698970004336019;331.08897189600003;6;0;1.3985;yes
1280;CHEMBL74648;nM;20000.0;CC(O)[C@H]1C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@H]12;4.698970004336019;367.108958392;6;1;0.47069999999999923;yes
1281;CHEMBL9632;nM;20000.0;O=C(c1ccccc1)c1ccc(OC(=O)C2CCCCC2)cc1;4.698970004336019;308.14124449999997;3;0;4.403300000000003;yes
1282;CHEMBL308355;nM;20000.0;COC(=O)[C@@H]1N2C(=O)[C@H](OC)[C@H]2S(=O)(=O)C1(C)C;4.698970004336019;277.06200820000004;6;0;-1.0816999999999988;yes
1283;CHEMBL430994;nM;20000.0;O=C(OCc1ccccc1)C1=C(Cc2ccccc2)S[C@@H]2CC(=O)N12;4.698970004336019;351.092914404;4;0;3.4893000000000027;yes
1284;CHEMBL3219678;nM;20300.0;COC(=O)CCC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)CCl;4.692503962086787;474.188127012;7;3;-0.7473999999999956;yes
1285;CHEMBL38674;nM;21000.0;Cc1ccc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O;4.6777807052660805;270.05282342;5;3;1.8872200000000003;yes
1287;CHEMBL3933212;nM;21000.0;COc1cnc(O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4CC4)C[C@H]3C3CC3)N(C(=O)[C@@H](NC(=O)O[C@H](C)C(F)(F)F)C3CCCCC3)C2)c2cc(Cl)ccc12;4.6777807052660805;827.25786136;10;3;4.764300000000005;yes
1288;CHEMBL1808545;nM;22000.0;Cc1cccc(C(=O)n2nc(C)c3ccccc32)c1;4.657577319177793;250.110613068;3;0;3.3416400000000017;yes
1289;CHEMBL223256;nM;22800.0;CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2;4.642065152999546;424.1885886159999;6;4;5.4507000000000065;yes
1290;CHEMBL4167477;nM;23300.0;COc1cc([C@@H]2CC(=O)c3c(cc(O)c(C/C=C(\C)CCCC(C)(C)O)c3O)O2)cc(OC)c1O;4.632644078973982;486.22536804799984;8;4;4.957100000000007;yes
